id,budget,genres,title,popularity,release-date,revenue,rating
0,237000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Avatar,150.437577,2009-12-10,2787965087,7.2
1,300000000,"['Adventure', 'Fantasy', 'Action']",Pirates of the Caribbean: At World's End,139.082615,2007-05-19,961000000,6.9
2,245000000,"['Action', 'Adventure', 'Crime']",Spectre,107.376788,2015-10-26,880674609,6.3
3,250000000,"['Action', 'Crime', 'Drama', 'Thriller']",The Dark Knight Rises,112.31295,2012-07-16,1084939099,7.6
4,260000000,"['Action', 'Adventure', 'Science Fiction']",John Carter,43.926995,2012-03-07,284139100,6.1
5,258000000,"['Fantasy', 'Action', 'Adventure']",Spider-Man 3,115.699814,2007-05-01,890871626,5.9
6,260000000,"['Animation', 'Family']",Tangled,48.681969,2010-11-24,591794936,7.4
7,280000000,"['Action', 'Adventure', 'Science Fiction']",Avengers: Age of Ultron,134.279229,2015-04-22,1405403694,7.3
8,250000000,"['Adventure', 'Fantasy', 'Family']",Harry Potter and the Half-Blood Prince,98.885637,2009-07-07,933959197,7.4
9,250000000,"['Action', 'Adventure', 'Fantasy']",Batman v Superman: Dawn of Justice,155.790452,2016-03-23,873260194,5.7
10,270000000,"['Adventure', 'Fantasy', 'Action', 'Science Fiction']",Superman Returns,57.925623,2006-06-28,391081192,5.4
11,200000000,"['Adventure', 'Action', 'Thriller', 'Crime']",Quantum of Solace,107.928811,2008-10-30,586090727,6.1
12,200000000,"['Adventure', 'Fantasy', 'Action']",Pirates of the Caribbean: Dead Man's Chest,145.847379,2006-06-20,1065659812,7.0
13,255000000,"['Action', 'Adventure', 'Western']",The Lone Ranger,49.046956,2013-07-03,89289910,5.9
14,225000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Man of Steel,99.398009,2013-06-12,662845518,6.5
15,225000000,"['Adventure', 'Family', 'Fantasy']",The Chronicles of Narnia: Prince Caspian,53.978602,2008-05-15,419651413,6.3
16,220000000,"['Science Fiction', 'Action', 'Adventure']",The Avengers,144.448633,2012-04-25,1519557910,7.4
17,380000000,"['Adventure', 'Action', 'Fantasy']",Pirates of the Caribbean: On Stranger Tides,135.413856,2011-05-14,1045713802,6.4
18,225000000,"['Action', 'Comedy', 'Science Fiction']",Men in Black 3,52.035179,2012-05-23,624026776,6.2
19,250000000,"['Action', 'Adventure', 'Fantasy']",The Hobbit: The Battle of the Five Armies,120.965743,2014-12-10,956019788,7.1
20,215000000,"['Action', 'Adventure', 'Fantasy']",The Amazing Spider-Man,89.866276,2012-06-27,752215857,6.5
21,200000000,"['Action', 'Adventure']",Robin Hood,37.668301,2010-05-12,310669540,6.2
22,250000000,"['Adventure', 'Fantasy']",The Hobbit: The Desolation of Smaug,94.370564,2013-12-11,958400000,7.6
23,180000000,"['Adventure', 'Fantasy']",The Golden Compass,42.990906,2007-12-04,372234864,5.8
24,207000000,"['Adventure', 'Drama', 'Action']",King Kong,61.22601,2005-12-14,550000000,6.6
25,200000000,"['Drama', 'Romance', 'Thriller']",Titanic,100.025899,1997-11-18,1845034188,7.5
26,250000000,"['Adventure', 'Action', 'Science Fiction']",Captain America: Civil War,198.372395,2016-04-27,1153304495,7.1
27,209000000,"['Thriller', 'Action', 'Adventure', 'Science Fiction']",Battleship,64.928382,2012-04-11,303025485,5.5
28,150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Jurassic World,418.708552,2015-06-09,1513528810,6.5
29,200000000,"['Action', 'Adventure', 'Thriller']",Skyfall,93.004993,2012-10-25,1108561013,6.9
30,200000000,"['Action', 'Adventure', 'Fantasy']",Spider-Man 2,35.149586,2004-06-25,783766341,6.7
31,200000000,"['Action', 'Adventure', 'Science Fiction']",Iron Man 3,77.68208,2013-04-18,1215439994,6.8
32,200000000,"['Family', 'Fantasy', 'Adventure']",Alice in Wonderland,78.530105,2010-03-03,1025491110,6.4
33,210000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",X-Men: The Last Stand,3.857526,2006-05-24,459359555,6.3
34,200000000,"['Animation', 'Family']",Monsters University,89.186492,2013-06-20,743559607,7.0
35,150000000,"['Science Fiction', 'Action', 'Adventure']",Transformers: Revenge of the Fallen,21.939663,2009-06-19,836297228,6.0
36,210000000,"['Science Fiction', 'Action', 'Adventure']",Transformers: Age of Extinction,116.840296,2014-06-25,1091405097,5.8
37,200000000,"['Fantasy', 'Adventure', 'Family']",Oz: The Great and Powerful,46.985445,2013-03-07,491868548,5.7
38,200000000,"['Action', 'Adventure', 'Fantasy']",The Amazing Spider-Man 2,89.270217,2014-04-16,705717432,6.5
39,170000000,"['Adventure', 'Action', 'Science Fiction']",TRON: Legacy,73.79505,2010-12-10,400062763,6.3
40,200000000,"['Animation', 'Family', 'Adventure', 'Comedy']",Cars 2,49.98659,2011-06-11,559852396,5.8
41,200000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Green Lantern,51.872839,2011-06-16,219851172,5.1
42,200000000,"['Animation', 'Family', 'Comedy']",Toy Story 3,59.995418,2010-06-16,1066969703,7.6
43,200000000,"['Action', 'Science Fiction', 'Thriller']",Terminator Salvation,71.862892,2009-05-20,371353001,5.9
44,190000000,['Action'],Furious 7,102.322217,2015-04-01,1506249360,7.3
45,200000000,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",World War Z,81.834855,2013-06-20,531865000,6.7
46,250000000,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",X-Men: Days of Future Past,118.078691,2014-05-15,747862775,7.5
47,190000000,"['Action', 'Adventure', 'Science Fiction']",Star Trek Into Darkness,78.291018,2013-05-05,467365246,7.4
48,195000000,"['Action', 'Family', 'Fantasy']",Jack the Giant Slayer,43.349855,2013-02-27,197687603,5.5
49,105000000,"['Drama', 'Romance']",The Great Gatsby,61.196071,2013-05-10,351040419,7.3
50,150000000,"['Adventure', 'Fantasy', 'Action', 'Romance']",Prince of Persia: The Sands of Time,62.169881,2010-05-19,335154643,6.2
51,180000000,"['Action', 'Science Fiction', 'Adventure']",Pacific Rim,56.523205,2013-07-11,407602906,6.7
52,195000000,"['Action', 'Science Fiction', 'Adventure']",Transformers: Dark of the Moon,28.529607,2011-06-28,1123746996,6.1
53,185000000,"['Adventure', 'Action']",Indiana Jones and the Kingdom of the Crystal Skull,75.674458,2008-05-21,786636033,5.7
54,175000000,"['Adventure', 'Animation', 'Family']",The Good Dinosaur,51.692953,2015-11-14,331926147,6.6
55,185000000,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",Brave,125.114374,2012-06-21,538983207,6.7
56,185000000,"['Action', 'Adventure', 'Science Fiction']",Star Trek Beyond,65.352913,2016-07-07,343471816,6.6
57,180000000,"['Animation', 'Family']",WALL·E,66.390712,2008-06-22,521311860,7.8
58,140000000,"['Action', 'Comedy', 'Crime', 'Thriller']",Rush Hour 3,22.57178,2007-08-08,258022233,6.1
59,200000000,"['Action', 'Adventure', 'Science Fiction']",2012,45.274225,2009-10-10,769653595,5.6
60,200000000,"['Animation', 'Drama']",A Christmas Carol,39.744242,2009-11-04,325233863,6.6
61,176000003,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",Jupiter Ascending,85.36908,2015-02-04,183987723,5.2
62,180000000,"['Action', 'Adventure']",The Legend of Tarzan,42.741719,2016-06-29,356743061,5.5
63,180000000,"['Adventure', 'Family', 'Fantasy']","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67.391328,2005-12-07,748806957,6.7
64,178000000,['Science Fiction'],X-Men: Apocalypse,139.272042,2016-05-18,543934787,6.4
65,185000000,"['Drama', 'Action', 'Crime', 'Thriller']",The Dark Knight,187.322927,2008-07-16,1004558444,8.2
66,175000000,"['Animation', 'Comedy', 'Family', 'Adventure']",Up,92.201962,2009-05-13,735099082,7.7
67,175000000,"['Animation', 'Family', 'Adventure', 'Science Fiction']",Monsters vs Aliens,36.167578,2009-03-19,381509870,6.0
68,140000000,"['Action', 'Science Fiction', 'Adventure']",Iron Man,120.725053,2008-04-30,585174222,7.4
69,170000000,"['Adventure', 'Drama', 'Family']",Hugo,32.319043,2011-11-22,185770160,7.0
70,170000000,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']",Wild Wild West,40.748915,1999-06-29,222104681,5.1
71,145000000,"['Adventure', 'Action', 'Fantasy']",The Mummy: Tomb of the Dragon Emperor,60.034162,2008-07-01,401128639,5.2
72,175000000,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']",Suicide Squad,90.23792,2016-08-02,745000000,5.9
